Word,Frequency,Probability
000,1,0.00005
1,58,0.00267
100,3,0.00014
12,3,0.00014
1500,1,0.00005
1596,1,0.00005
15th,3,0.00014
1646,1,0.00005
1650,1,0.00005
1685,1,0.00005
16th,2,0.00009
1711,1,0.00005
1716,1,0.00005
1724,1,0.00005
1753,1,0.00005
1770,1,0.00005
1804,1,0.00005
1831,1,0.00005
1887,1,0.00005
1912,1,0.00005
2,12,0.00055
20,1,0.00005
2001,1,0.00005
2004,1,0.00005
2019,1,0.00005
3,12,0.00055
30,1,0.00005
4,5,0.00023
5,7,0.00032
50,1,0.00005
501,1,0.00005
5827,1,0.00005
596,1,0.00005
6,2,0.00009
60,1,0.00005
6221541,1,0.00005
64,1,0.00005
7,5,0.00023
76,1,0.00005
8,4,0.00018
801,1,0.00005
809,1,0.00005
84116,1,0.00005
9,3,0.00014
90,2,0.00009
_a,56,0.00258
_a_,5,0.00023
_absolutely_,1,0.00005
_acquaintance_,5,0.00023
_act_,1,0.00005
_ad,1,0.00005
_all,1,0.00005
_all_,5,0.00023
_almost_,1,0.00005
_always_,2,0.00009
_answer_,1,0.00005
_any_,1,0.00005
_apparent_,1,0.00005
_are_,1,0.00005
_as,1,0.00005
_asking_,1,0.00005
_be_,1,0.00005
_before_,1,0.00005
_believing_,1,0.00005
_brotherhood_,1,0.00005
_cause_,2,0.00009
_causes_,1,0.00005
_causing_,1,0.00005
_certainly_,1,0.00005
_cogito,1,0.00005
_coherence_,2,0.00009
_conceiving_,1,0.00005
_concept_,1,0.00005
_connaître_,1,0.00005
_connected_,1,0.00005
_constituents_,1,0.00005
_correspondence,1,0.00005
_correspondence_,1,0.00005
_corresponding_,2,0.00009
_corresponds_,1,0.00005
_could_,1,0.00005
_create_,1,0.00005
_criterion_,1,0.00005
_criticism_,1,0.00005
_deduction_,1,0.00005
_definition_,2,0.00009
_degree_,1,0.00005
_derivative_,2,0.00009
_describe_,1,0.00005
_description_,3,0.00014
_directly_,1,0.00005
_disproved_,1,0.00005
_diversity_,1,0.00005
_doubt_,1,0.00005
_each_,1,0.00005
_empirical_,1,0.00005
_enquiry,1,0.00005
_error_,3,0.00014
_esse_,1,0.00005
_ethics_,1,0.00005
_every,1,0.00005
_evidence_,1,0.00005
_exactly_,1,0.00005
_exist_,3,0.00014
_existence_,2,0.00009
_existing_,1,0.00005
_fact,1,0.00005
_fact_,2,0.00009
_false_,2,0.00009
_falsely_,1,0.00005
_feeling_,1,0.00005
_have,1,0.00005
_here_,1,0.00005
_his_,2,0.00009
_i_,1,0.00005
_if_,4,0.00018
_immediately_,3,0.00014
_implies_,1,0.00005
_in,3,0.00014
_in_,1,0.00005
_induction_,1,0.00005
_instinctive_,1,0.00005
_intend_,1,0.00005
_introduction,1,0.00005
_introspection_,1,0.00005
_intuitive_,2,0.00009
_is_,8,0.00037
_jealousy_,1,0.00005
_judge_,1,0.00005
_judgements_,1,0.00005
_judging_,1,0.00005
_julius,2,0.00009
_justice_,2,0.00009
_kennen_,1,0.00005
_kind_,1,0.00005
_know_,5,0.00023
_knowledge_,2,0.00009
_known_,2,0.00009
_light_,2,0.00009
_likely_,1,0.00005
_logical_,1,0.00005
_logically_,2,0.00009
_look_,1,0.00005
_man_,3,0.00014
_may_,1,0.00005
_mean_,2,0.00009
_meaning_,2,0.00009
_meditations_,1,0.00005
_memory_,2,0.00009
_men_,1,0.00005
_mere_,1,0.00005
_might_,1,0.00005
_monad_,1,0.00005
_monadism_,1,0.00005
_monism_,1,0.00005
_mortal_,2,0.00009
_mortality_,1,0.00005
_must_,6,0.00028
_new_,1,0.00005
_no_,1,0.00005
_not_,2,0.00009
_now_,1,0.00005
_object,2,0.00009
_object_,2,0.00009
_objects_,3,0.00014
_of_,3,0.00014
_one_,1,0.00005
_only_,2,0.00009
_order_,2,0.00009
_our_,1,0.00005
_particular_,1,0.00005
_perception_,1,0.00005
_percipi_,1,0.00005
_possibility_,1,0.00005
_possible_,1,0.00005
_practical_,1,0.00005
_principle,1,0.00005
_private_,1,0.00005
_probable,1,0.00005
_probable_,2,0.00009
_probably_,3,0.00014
_product_,1,0.00005
_prolegomena,1,0.00005
_prove_,1,0.00005
_proved_,1,0.00005
_qualities_,2,0.00009
_quite_,1,0.00005
_reason_,1,0.00005
_relations_,4,0.00018
_republic_,1,0.00005
_resemblance_,1,0.00005
_round_,1,0.00005
_savoir_,1,0.00005
_seems_,1,0.00005
_self,2,0.00009
_self_,2,0.00009
_signs_,1,0.00005
_similarity_,1,0.00005
_some_,5,0.00023
_something_,1,0.00005
_space_,1,0.00005
_subject_,1,0.00005
_subsist_,1,0.00005
_test_,1,0.00005
_that_,1,0.00005
_the,4,0.00018
_the_,2,0.00009
_theoretical_,1,0.00005
_things_,2,0.00009
_think_,4,0.00018
_this_,1,0.00005
_thought_,3,0.00014
_three,2,0.00009
_triangularity_,1,0.00005
_true_,6,0.00028
_truly_,2,0.00009
_truth_,1,0.00005
_truths_,3,0.00014
_typical_,1,0.00005
_understand_,1,0.00005
_universal_,1,0.00005
_universals_,1,0.00005
_whiteness_,3,0.00014
_wissen_,1,0.00005
abandon,2,0.00009
abide,1,0.00005
able,13,0.00060
abroad,1,0.00005
absence,2,0.00009
absent,3,0.00014
absolute,15,0.00069
absolutely,3,0.00014
abstain,1,0.00005
abstract,10,0.00046
abstracted,1,0.00005
abstraction,4,0.00018
abstractions,1,0.00005
abstractly,1,0.00005
absurd,5,0.00023
absurdities,1,0.00005
absurdity,3,0.00014
accept,3,0.00014
acceptance,1,0.00005
accepted,4,0.00018
accepting,4,0.00018
accepts,1,0.00005
access,10,0.00046
accessed,1,0.00005
accessible,1,0.00005
accident,1,0.00005
accidental,1,0.00005
accidents,1,0.00005
accompanied,1,0.00005
accord,1,0.00005
accordance,6,0.00028
according,15,0.00069
account,18,0.00083
accounted,4,0.00018
accounting,1,0.00005
accurate,1,0.00005
accusative,1,0.00005
accustomed,2,0.00009
achieve,1,0.00005
achieved,4,0.00018
achieves,1,0.00005
acquaintance,78,0.00359
acquainted,71,0.00327
acquainted_,1,0.00005
acquiesce,1,0.00005
acquiescence,1,0.00005
acquire,5,0.00023
acquired,2,0.00009
acquiring,2,0.00009
acquisition,1,0.00005
act,19,0.00087
action,4,0.00018
actions,2,0.00009
active,2,0.00009
activity,1,0.00005
acts,4,0.00018
actual,28,0.00129
actually,10,0.00046
acute,1,0.00005
adapts,1,0.00005
adding,1,0.00005
addition,8,0.00037
additional,3,0.00014
additions,2,0.00009
address,1,0.00005
addresses,1,0.00005
adduced,1,0.00005
adequacy,1,0.00005
adequate,2,0.00009
adequately,1,0.00005
adjectives,5,0.00023
admirable,1,0.00005
admission,2,0.00009
admit,14,0.00064
admits,2,0.00009
admitted,6,0.00028
admitting,1,0.00005
admixture,1,0.00005
adopt,6,0.00028
advance,4,0.00018
advanced,3,0.00014
advances,1,0.00005
adversaries,1,0.00005
advocate,1,0.00005
advocated,6,0.00028
advocates,1,0.00005
advocating,1,0.00005
aeroplanes,2,0.00009
aesthetic,1,0.00005
aether,1,0.00005
af,1,0.00005
affairs,1,0.00005
affections,1,0.00005
affirm,2,0.00009
affirmative,1,0.00005
affirmed,2,0.00009
afford,3,0.00014
afforded,1,0.00005
affords,2,0.00009
afterwards,2,0.00009
age,4,0.00018
aged,1,0.00005
agent,1,0.00005
ago,6,0.00028
agree,12,0.00055
agreeably,1,0.00005
agreed,5,0.00023
agreement,19,0.00087
aim,1,0.00005
aimed,1,0.00005
aims,3,0.00014
air,5,0.00023
akin,1,0.00005
alien,1,0.00005
alive,2,0.00009
allow,2,0.00009
allowed,1,0.00005
allowing,1,0.00005
allows,1,0.00005
almost,17,0.00078
alone,11,0.00051
along,6,0.00028
already,14,0.00064
also,51,0.00235
alter,2,0.00009
alteration,1,0.00005
altered,1,0.00005
alternate,1,0.00005
alternatives,1,0.00005
alters,1,0.00005
although,28,0.00129
altogether,5,0.00023
always,26,0.00120
ambiguity,3,0.00014
ambiguous,6,0.00028
ambitious,1,0.00005
amend,1,0.00005
among,22,0.00101
amount,4,0.00018
amply,1,0.00005
analogous,1,0.00005
analyse,1,0.00005
analyses,1,0.00005
analysing,2,0.00009
analysis,8,0.00037
analytic,6,0.00028
anatomist,1,0.00005
angles,3,0.00014
animal,1,0.00005
animals,6,0.00028
announce,2,0.00009
announcement,1,0.00005
announces,2,0.00009
another,26,0.00120
answer,27,0.00124
answered,2,0.00009
answering,3,0.00014
answers,11,0.00051
anticipate,1,0.00005
anticipating,1,0.00005
anticipation,1,0.00005
antithesis,3,0.00014
anxious,2,0.00009
anybody,3,0.00014
anybody's,1,0.00005
anyone,5,0.00023
anything,40,0.00184
anywhere,3,0.00014
apart,10,0.00046
apparent,13,0.00060
apparently,2,0.00009
appeal,4,0.00018
appealing,2,0.00009
appear,16,0.00074
appearance,15,0.00069
appearances,1,0.00005
appeared,5,0.00023
appearing,1,0.00005
appears,17,0.00078
appetite,1,0.00005
applicable,12,0.00055
application,1,0.00005
applications,3,0.00014
applied,1,0.00005
applies,17,0.00078
apply,9,0.00041
applying,2,0.00009
apportions,1,0.00005
apprehend,3,0.00014
apprehended,10,0.00046
apprehending,2,0.00009
apprehends,1,0.00005
apprehension,3,0.00014
approach,5,0.00023
approaches,1,0.00005
approaching,1,0.00005
apt,5,0.00023
archive,13,0.00060
arduous,1,0.00005
argue,5,0.00023
argued,2,0.00009
argues,1,0.00005
arguing,1,0.00005
argument,26,0.00120
arguments,16,0.00074
arise,9,0.00041
arises,4,0.00018
arithmetic,11,0.00051
arithmetical,3,0.00014
arm,3,0.00014
arose,1,0.00005
arrange,1,0.00005
arranged,2,0.00009
arrangement,3,0.00014
array,1,0.00005
arrive,7,0.00032
arrived,1,0.00005
arriving,1,0.00005
arrogant,1,0.00005
artificial,1,0.00005
ascertain,2,0.00009
ascertainable,2,0.00009
ascertained,1,0.00005
ascii,2,0.00009
ask,12,0.00055
asked,4,0.00018
asking,3,0.00014
asks,1,0.00005
aspect,2,0.00009
assassinated,1,0.00005
assent,2,0.00009
assented,1,0.00005
assert,7,0.00032
asserted,2,0.00009
asserting,3,0.00014
assertion,6,0.00028
asserts,7,0.00032
assigns,1,0.00005
assimilate,1,0.00005
assist,1,0.00005
assistance,3,0.00014
associate,2,0.00009
associated,23,0.00106
association,10,0.00046
associations,2,0.00009
assume,10,0.00046
assumed,4,0.00018
assumes,3,0.00014
assuming,6,0.00028
assumption,2,0.00009
assumptions,1,0.00005
assurance,1,0.00005
assure,1,0.00005
assured,1,0.00005
astray,1,0.00005
astronomy,2,0.00009
astute,4,0.00018
ate,1,0.00005
atheists_,1,0.00005
atoms,1,0.00005
attach,2,0.00009
attached,1,0.00005
attack,1,0.00005
attain,1,0.00005
attainable,1,0.00005
attained,3,0.00014
attempt,16,0.00074
attempted,2,0.00009
attempts,4,0.00018
attendant,2,0.00009
attention,5,0.00023
attested,1,0.00005
attitude,1,0.00005
attributing,1,0.00005
author,1,0.00005
available,2,0.00009
avoid,5,0.00023
avoided,1,0.00005
avoiding,1,0.00005
aware,24,0.00110
awareness,3,0.00014
away,7,0.00032
axioms,3,0.00014
b,26,0.00120
babies,1,0.00005
back,5,0.00023
backward,1,0.00005
backwards,1,0.00005
bad,3,0.00014
bald,3,0.00014
baldness,1,0.00005
balfour,2,0.00009
balloons,2,0.00009
banging,1,0.00005
bannerman,1,0.00005
bar,1,0.00005
bare,2,0.00009
barrier,1,0.00005
based,14,0.00064
basis,8,0.00037
battle,3,0.00014
bear,2,0.00009
bearing,2,0.00009
became,1,0.00005
become,36,0.00166
becomes,19,0.00087
becoming,1,0.00005
bed,1,0.00005
beech,10,0.00046
beg,1,0.00005
began,6,0.00028
begging,1,0.00005
begin,18,0.00083
beginner,1,0.00005
beginning,4,0.00018
begins,2,0.00009
begs,1,0.00005
begun,1,0.00005
behave,1,0.00005
behaviour,1,0.00005
behind,2,0.00009
being_,1,0.00005
beings,6,0.00028
beleagured,1,0.00005
belief,99,0.00455
belief_,1,0.00005
beliefs,50,0.00230
believe,47,0.00216
believed,13,0.00060
believes,18,0.00083
believing,23,0.00106
bell,1,0.00005
bells,2,0.00009
belong,3,0.00014
belongs,9,0.00041
berkeley,21,0.00097
berkeley's,5,0.00023
bertrand,3,0.00014
besides,4,0.00018
best,6,0.00028
better,6,0.00028
bewildering,1,0.00005
beyond,14,0.00064
bibliographical,1,0.00005
bid,1,0.00005
bigger,1,0.00005
binary,1,0.00005
binds,1,0.00005
bishop,2,0.00009
bismarck,15,0.00069
bismarck's,1,0.00005
black,2,0.00009
blank,1,0.00005
blind,13,0.00060
blue,9,0.00041
bodies,8,0.00037
body,25,0.00115
bolder,1,0.00005
bone,1,0.00005
books,4,0.00018
bored,1,0.00005
born,4,0.00018
borne,1,0.00005
bought,2,0.00009
bound,3,0.00014
boundaries,2,0.00009
bounds,1,0.00005
bradley,1,0.00005
brain,2,0.00009
breach,2,0.00009
bread,2,0.00009
breakfast,3,0.00014
brick,1,0.00005
brief,1,0.00005
briefest,1,0.00005
briefly,5,0.00023
brighter,1,0.00005
brightness,1,0.00005
bring,3,0.00014
brings,2,0.00009
british,1,0.00005
broadly,4,0.00018
broken,1,0.00005
brought,4,0.00018
brown,14,0.00064
build,1,0.00005
builder,1,0.00005
buildings,1,0.00005
built,2,0.00009
business,6,0.00028
buy,2,0.00009
c,6,0.00028
c's,1,0.00005
c3,1,0.00005
caesar,4,0.00018
caesar_,2,0.00009
calculate,1,0.00005
calculated,1,0.00005
call,28,0.00129
called,49,0.00225
calling,2,0.00009
calls,5,0.00023
calm,1,0.00005
calmly,2,0.00009
came,3,0.00014
campbell,1,0.00005
camps,1,0.00005
candid,1,0.00005
candidate,7,0.00032
candidates,2,0.00009
cannot,89,0.00409
cantor,1,0.00005
capable,16,0.00074
card,1,0.00005
care,6,0.00028
careful,1,0.00005
carefully,2,0.00009
carelessly,1,0.00005
carry,1,0.00005
case,67,0.00308
cases,39,0.00179
cassio,28,0.00129
cat,5,0.00023
catalogue,1,0.00005
catalogued,1,0.00005
catching,1,0.00005
categories,1,0.00005
causality,2,0.00009
cause,17,0.00078
caused,5,0.00023
causes,6,0.00028
causing,1,0.00005
cease,4,0.00018
ceased,4,0.00018
ceases,5,0.00023
cement,3,0.00014
centuries,1,0.00005
century,1,0.00005
certain,91,0.00419
certainly,9,0.00041
certainty,32,0.00147
cf,1,0.00005
chair,2,0.00009
chairs,2,0.00009
challenged,2,0.00009
chance,1,0.00005
chancellor,4,0.00018
change,5,0.00023
changeable,1,0.00005
changed,1,0.00005
changes,1,0.00005
changing,2,0.00009
chapter,47,0.00216
chapters,5,0.00023
character,5,0.00023
characteristic,6,0.00028
characteristics,9,0.00041
characters,2,0.00009
charge,6,0.00028
charges,2,0.00009
charitable,1,0.00005
charities,1,0.00005
charles,5,0.00023
check,4,0.00018
checks,1,0.00005
chicken,4,0.00018
chief,6,0.00028
chiefly,2,0.00009
child,1,0.00005
chimaera,1,0.00005
chime,3,0.00014
china,2,0.00009
choice,1,0.00005
choose,3,0.00014
chosen,1,0.00005
circle,4,0.00018
circular,4,0.00018
circumstances,6,0.00028
citizens,1,0.00005
citizenship,1,0.00005
city,2,0.00009
claim,5,0.00023
clash,1,0.00005
clashes,1,0.00005
class,5,0.00023
clean,1,0.00005
clear,14,0.00064
clearer,2,0.00009
clearly,3,0.00014
clock,1,0.00005
close,2,0.00009
closed,1,0.00005
closely,2,0.00009
closer,1,0.00005
closes,1,0.00005
cloth,3,0.00014
clouds,1,0.00005
co,1,0.00005
coalesce,1,0.00005
codes,1,0.00005
coexistence,3,0.00014
cohere,1,0.00005
coherence,8,0.00037
coherent,8,0.00037
coin,1,0.00005
coins,1,0.00005
collection,14,0.00064
collections,3,0.00014
collective,1,0.00005
colony,1,0.00005
colour,58,0.00267
colours,12,0.00055
combination,1,0.00005
combine,1,0.00005
combined,2,0.00009
come,22,0.00101
comes,9,0.00041
coming,1,0.00005
commentators,2,0.00009
commercial,1,0.00005
commit,1,0.00005
committed,2,0.00009
common,36,0.00166
commonest,2,0.00009
commonly,10,0.00046
communicate,1,0.00005
community,1,0.00005
comparative,1,0.00005
compare,1,0.00005
compared,1,0.00005
comparing,1,0.00005
comparison,3,0.00014
compelled,5,0.00023
competent,1,0.00005
compilation,1,0.00005
complement,1,0.00005
complete,6,0.00028
completed,1,0.00005
completely,10,0.00046
complex,33,0.00152
compliance,5,0.00023
complicated,3,0.00014
comply,6,0.00028
complying,3,0.00014
composed,6,0.00028
compressed,1,0.00005
computer,2,0.00009
computers,2,0.00009
conceded,2,0.00009
conceivable,1,0.00005
conceivably,1,0.00005
concentrate,1,0.00005
concept,2,0.00009
conception,5,0.00023
concepts,2,0.00009
concern,4,0.00018
concerned,16,0.00074
concerning,38,0.00175
concerns,3,0.00014
concluded,1,0.00005
conclusion,17,0.00078
conclusions,2,0.00009
concourse,1,0.00005
concrete,3,0.00014
condemns,1,0.00005
condition,2,0.00009
conditions,4,0.00018
conduct,1,0.00005
confess,1,0.00005
confidence,3,0.00014
confident,2,0.00009
confine,1,0.00005
confined,6,0.00028
confining,1,0.00005
confirm,2,0.00009
confirmation,1,0.00005
confirmed,1,0.00005
confirms,1,0.00005
conflict,1,0.00005
conform,3,0.00014
conformity,1,0.00005
confused,1,0.00005
confusing,1,0.00005
confusion,8,0.00037
confusions,1,0.00005
confute,1,0.00005
conjecture,1,0.00005
connected,11,0.00051
connecting,1,0.00005
connects,1,0.00005
connexion,19,0.00087
connexions,3,0.00014
conscious,3,0.00014
consciously,2,0.00009
consciousness,8,0.00037
consent,1,0.00005
consequences,1,0.00005
consequential,1,0.00005
consequently,1,0.00005
consider,33,0.00152
considerable,3,0.00014
consideration,7,0.00032
considerations,2,0.00009
considered,14,0.00064
considering,12,0.00055
considers,2,0.00009
consist,4,0.00018
consisted,1,0.00005
consisting,3,0.00014
consists,21,0.00097
constant,5,0.00023
constantly,6,0.00028
constituency,4,0.00018
constituent,4,0.00018
constituents,9,0.00041
constitute,6,0.00028
constituted,6,0.00028
constitutes,5,0.00023
constituting,1,0.00005
constitution,2,0.00009
construct,1,0.00005
constructed,1,0.00005
constructing,1,0.00005
constructions,1,0.00005
constructive,1,0.00005
contact,7,0.00032
contain,10,0.00046
contained,2,0.00009
containing,3,0.00014
contains,4,0.00018
contemplated,1,0.00005
contemplates,3,0.00014
contemplating,1,0.00005
contemplation,13,0.00060
contemplative,1,0.00005
contemptuously,1,0.00005
contended,1,0.00005
content,2,0.00009
contention,1,0.00005
contentions,1,0.00005
contents,3,0.00014
context,2,0.00009
continental,1,0.00005
continual,2,0.00009
continue,6,0.00028
continued,1,0.00005
continues,6,0.00028
continuing,1,0.00005
continuous,1,0.00005
continuously,1,0.00005
contract,1,0.00005
contradict,1,0.00005
contradiction,19,0.00087
contradiction_,1,0.00005
contradictions,5,0.00023
contradictory,5,0.00023
contrary,14,0.00064
contrast,1,0.00005
contributed,1,0.00005
contribution,1,0.00005
contributions,2,0.00009
control,2,0.00009
controversies,2,0.00009
controversy,2,0.00009
convenient,1,0.00005
converged,1,0.00005
conversation,1,0.00005
conversely,2,0.00009
convert,1,0.00005
convey,2,0.00009
convictions,3,0.00014
convinced,2,0.00009
convincing,1,0.00005
cool,1,0.00005
copied,2,0.00009
copies,7,0.00032
copy,12,0.00055
copying,4,0.00018
copyright,20,0.00092
corporation,1,0.00005
correct,4,0.00018
correctly,2,0.00009
correlative,1,0.00005
correspond,8,0.00037
corresponded,1,0.00005
correspondence,10,0.00046
corresponding,12,0.00055
corresponds,5,0.00023
corrupt,1,0.00005
cost,3,0.00014
costs,2,0.00009
could,57,0.00262
counterparts,1,0.00005
countless,1,0.00005
countries,1,0.00005
country,4,0.00018
couple,3,0.00014
couples,7,0.00032
couples_,1,0.00005
course,18,0.00083
cranny,1,0.00005
create,3,0.00014
created,4,0.00018
creates,1,0.00005
creating,4,0.00018
creation,1,0.00005
credit,2,0.00009
criterion,1,0.00005
critical,6,0.00028
critically,2,0.00009
criticism,8,0.00037
criticisms,1,0.00005
criticized,1,0.00005
crude,4,0.00018
crudely,1,0.00005
current,1,0.00005
custom,1,0.00005
customary,1,0.00005
cut,2,0.00009
cutting,1,0.00005
daily,8,0.00037
damage,2,0.00009
damaged,1,0.00005
damages,4,0.00018
danger,1,0.00005
dark,3,0.00014
data,138,0.00635
date,3,0.00014
dates,1,0.00005
datum,23,0.00106
day,9,0.00041
days,5,0.00023
dead,2,0.00009
deal,6,0.00028
dealing,7,0.00032
deals,3,0.00014
dealt,6,0.00028
death,2,0.00009
debate,1,0.00005
debated,1,0.00005
deceitful,1,0.00005
deceive,1,0.00005
december,1,0.00005
deceptive,1,0.00005
decide,3,0.00014
decided,3,0.00014
decides,1,0.00005
deciding,1,0.00005
decision,1,0.00005
declared,1,0.00005
deduce,5,0.00023
deduced,18,0.00083
deducible,2,0.00009
deducing,1,0.00005
deductible,1,0.00005
deduction,5,0.00023
deductions,3,0.00014
deeds,1,0.00005
deeply,1,0.00005
defeated,1,0.00005
defect,4,0.00018
defective,3,0.00014
defects,1,0.00005
defensible,1,0.00005
define,2,0.00009
defined,1,0.00005
definite,19,0.00087
definitely,3,0.00014
definiteness,1,0.00005
definition,16,0.00074
definitions,1,0.00005
degree,20,0.00092
degrees,8,0.00037
deletions,1,0.00005
deliberate,1,0.00005
delightful,1,0.00005
delusion,1,0.00005
demand,4,0.00018
demanding,1,0.00005
demands,3,0.00014
demon,3,0.00014
demonstrably,1,0.00005
demonstration,2,0.00009
demonstrations,2,0.00009
demonstrative,1,0.00005
demonstratively,1,0.00005
denial,3,0.00014
denied,5,0.00023
denies,1,0.00005
denotes,4,0.00018
dentist,1,0.00005
deny,12,0.00055
depend,13,0.00060
dependence,1,0.00005
dependent,9,0.00041
depending,1,0.00005
depends,12,0.00055
derivative,15,0.00069
derive,7,0.00032
derived,17,0.00078
descartes,6,0.00028
descend,1,0.00005
describe,6,0.00028
described,10,0.00046
describes,1,0.00005
describing,1,0.00005
description,45,0.00207
descriptions,9,0.00041
descriptive,1,0.00005
desdemona,25,0.00115
desdemona's,7,0.00032
desert,1,0.00005
deserts,1,0.00005
deserves,1,0.00005
deserving,1,0.00005
designate,1,0.00005
desirability,1,0.00005
desirable,1,0.00005
desire,10,0.00046
desires,5,0.00023
desiring,1,0.00005
desirous,1,0.00005
despite,1,0.00005
destroy,2,0.00009
destroyed,1,0.00005
destroys,1,0.00005
destructive,1,0.00005
detach,1,0.00005
detail,3,0.00014
determine,3,0.00014
determined,3,0.00014
determines,1,0.00005
develop,2,0.00009
development,1,0.00005
developments,1,0.00005
dialogues,2,0.00009
diary,1,0.00005
dictionary,1,0.00005
die,1,0.00005
died,4,0.00018
differ,5,0.00023
difference,11,0.00051
differences,2,0.00009
different,77,0.00354
differently,4,0.00018
differing,3,0.00014
differs,2,0.00009
difficult,23,0.00106
difficulties,7,0.00032
difficulty,14,0.00064
diminish,1,0.00005
diminished,1,0.00005
diminishes,1,0.00005
diminishing,2,0.00009
dined,1,0.00005
dinner,1,0.00005
diplomatist,4,0.00018
direct,9,0.00041
direction,6,0.00028
directions,1,0.00005
directly,12,0.00055
directs,1,0.00005
disappear,1,0.00005
disappoint,1,0.00005
disappointing,1,0.00005
disclaim,1,0.00005
disclaimer,3,0.00014
disclaimers,1,0.00005
discontinue,1,0.00005
discover,5,0.00023
discoverable,4,0.00018
discovered,7,0.00032
discovering,5,0.00023
discovery,2,0.00009
discuss,1,0.00005
discussed,2,0.00009
discussing,4,0.00018
discussion,4,0.00018
discussions,2,0.00009
disease,1,0.00005
disengaged,1,0.00005
disentangle,2,0.00009
disk,1,0.00005
dismiss,1,0.00005
dismissed,2,0.00009
dispassionately,1,0.00005
display,1,0.00005
displayed,1,0.00005
displaying,4,0.00018
disproved,3,0.00014
disputable,1,0.00005
disputants,1,0.00005
dissociated,1,0.00005
distance,3,0.00014
distances,5,0.00023
distinct,3,0.00014
distinction,7,0.00032
distinctions,2,0.00009
distinctive,2,0.00009
distinctly,1,0.00005
distinguish,7,0.00032
distinguished,4,0.00018
distinguishes,1,0.00005
distinguishing,3,0.00014
distort,1,0.00005
distorts,1,0.00005
distribute,6,0.00028
distributed,4,0.00018
distributing,7,0.00032
distribution,8,0.00037
distributor,1,0.00005
disturbance,3,0.00014
diverge,1,0.00005
divest,1,0.00005
divide,1,0.00005
divided,1,0.00005
divisibility,1,0.00005
divisible,2,0.00009
